Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Kritika Tour & Travels,,07:35,4h 5m,11:40,4.5,₹400,0
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays Pvt Ltd,,21:15,4h 5m,01:20,5,"₹1,789",0
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays Pvt Ltd,,22:00,4h 20m,02:20,4.8,"₹1,849",0
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Bedi Travels,,22:05,3h 50m,01:55,4.2,"₹1,852",0
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Laxmi holidays,,20:20,4h 10m,00:30,4.9,"₹1,989",0
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Laxmi holidays,,22:05,4h 35m,02:40,4.2,"₹1,799",0
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Himalayan Nomad Ktc,,22:05,3h 25m,01:30,0,"₹2,088",0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Kritika Tour & Travels,,14:30,4h 15m,18:45,5,₹450,0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Laxmi holidays,,01:00,3h 30m,04:30,4.5,₹876,0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Ram Dalal Holidays Pvt Ltd,,02:00,3h 55m,05:55,4.6,"₹1,799",0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Laxmi holidays,,02:40,3h 50m,06:30,4.3,"₹1,019",0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Ram Dalal Holidays Pvt Ltd,,02:15,3h 40m,05:55,4.5,"₹1,109",0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Himalayan Nomad Ktc,,01:40,3h 40m,05:20,3.2,"₹1,008",0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Northern Travels,,02:00,3h 40m,05:40,4.8,"₹1,000",0
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Bedi Travels,,02:15,4h,06:15,0,₹997,0
Chandigarh to Dehradun,https://www.redbus.in/bus-tickets/chandigarh-to-dehradun,NueGo,,07:30,4h 25m,11:55,4.4,₹684,0
Chandigarh to Dehradun,https://www.redbus.in/bus-tickets/chandigarh-to-dehradun,NueGo,,18:00,5h 30m,23:30,4.3,₹342,0
Chandigarh to Dehradun,https://www.redbus.in/bus-tickets/chandigarh-to-dehradun,Laxmi holidays,,23:55,5h 20m,05:15,4.5,₹819,0
Chandigarh to Dehradun,https://www.redbus.in/bus-tickets/chandigarh-to-dehradun,Laxmi holidays,,04:20,6h 20m,10:40,4.7,"₹1,545",0
Chandigarh to Dehradun,https://www.redbus.in/bus-tickets/chandigarh-to-dehradun,Laxmi holidays,,01:30,6h,07:30,4.5,₹576,0
Chandigarh to Dehradun,https://www.redbus.in/bus-tickets/chandigarh-to-dehradun,City Land Travels,,00:40,4h 20m,05:00,4.1,"₹1,281",0
Chandigarh to Dehradun,https://www.redbus.in/bus-tickets/chandigarh-to-dehradun,Zimindara Travels,,23:00,6h 30m,05:30,3.9,"₹1,049",0
Chandigarh to Dehradun,https://www.redbus.in/bus-tickets/chandigarh-to-dehradun,Laxmi holidays,,23:40,5h 35m,05:15,4.1,₹989,0
Chandigarh to Dehradun,https://www.redbus.in/bus-tickets/chandigarh-to-dehradun,City Land Travels,,04:15,6h 5m,10:20,3.7,₹901,0
Chandigarh to Dehradun,https://www.redbus.in/bus-tickets/chandigarh-to-dehradun,Mahalaxmi Travels,,23:45,5h,04:45,5,"₹1,599",0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Chandigarh Transport Undertaking (CTU) - 165943,,10:45,7h,17:45,3.9,₹584,0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Laxmi holidays,,23:45,5h 45m,05:30,4.7,₹869,0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Laxmi holidays,,23:50,5h 40m,05:30,4.6,₹945,0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Ram Dalal Holidays Pvt Ltd,,00:30,6h 10m,06:40,4.7,₹979,0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Zingbus Plus,,02:10,5h 35m,07:45,4.8,"₹1,324",0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Zingbus Plus,,00:45,5h 5m,05:50,4.5,"₹1,099",0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,FlixBus,,02:20,6h 5m,08:25,4.5,₹735,0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Laxmi holidays,,01:30,5h 55m,07:25,4.6,"₹1,249",0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Laxmi holidays,,02:25,5h 20m,07:45,4.7,"₹1,386",0
Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,New Walia Travels,,01:20,5h 10m,06:30,5,₹998,0
Talwara to Chandigarh,https://www.redbus.in/bus-tickets/talwara-to-chandigarh,Chandigarh Transport Undertaking (CTU) - 165840,,11:37,5h,16:37,4.2,₹368,0
